id,name,movement_pattern,equipment,equipment_options,primary_pillar,secondary_pillar,where_setting,best_with
EX0229,Single-arm cable row,Upper pull,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0230,Band pull-through,Hinge,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0231,Suitcase carry,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0232,Reverse wrist curl,Carry & grip,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0233,Towel pull-up,Upper pull,Pull-up bar + Towel,"[[""Pull-up bar"", ""Towel""]]",Balanced Athleticism,,Gym,Solo OK
EX0234,Towel dead hang,Carry & grip,Pull-up bar + Towel,"[[""Pull-up bar"", ""Towel""]]",Balanced Athleticism,,Gym,Solo OK
EX0235,Hammer curl,Upper pull,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0236,Rack pull,Hinge,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0237,Cable pull-through,Hinge,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0238,Sled pull,Sled,Sled + Rope,"[[""Sled"", ""Rope""]]",Durability,Balanced Athleticism,Gym,Solo OK
EX0239,Fat-grip row,Upper pull,Dumbbell + Fat grips,"[[""Dumbbell"", ""Fat grips""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0240,Weighted chin-up,Upper pull,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0241,Sled drag + rope pull superset,Sled,Sled + Rope,"[[""Sled"", ""Rope""]]",Durability,Balanced Athleticism,Gym,Solo OK
EX0242,Isometric row hold,Upper pull,Dumbbell or Cable machine,"[[""Dumbbell""], [""Cable machine""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0243,Farmers walk,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0244,Shrug,Carry & grip,Dumbbell or Barbell,"[[""Dumbbell""], [""Barbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0245,Wrist roller,Carry & grip,Wrist roller,"[[""Wrist roller""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0246,Wrist curl,Carry & grip,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0247,Plate pinch hold,Carry & grip,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0248,Farmers posture drill,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Economy,,Home or gym,Solo OK
EX0249,Hand gripper,Carry & grip,Hand gripper,"[[""Hand gripper""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0250,Goblet carry,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0251,Overhead carry,Carry & grip,Plate or Kettlebell,"[[""Plate""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0252,Loaded march in place,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0253,Scapular shrug hold,Upper pull,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0254,Front-rack kettlebell carry,Carry & grip,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0255,Offset carry,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0256,Fat-grip hold,Carry & grip,Dumbbell + Fat grips,"[[""Dumbbell"", ""Fat grips""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0257,Bottoms-up kettlebell hold,Carry & grip,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0258,Trap-bar hold,Carry & grip,Trap bar,"[[""Trap bar""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0259,Carry medley,Carry & grip,Kettlebell or dumbbell or Plate,"[[""Kettlebell or dumbbell""], [""Plate""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0260,Hex dumbbell hold,Carry & grip,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0261,Plate pinch walk,Carry & grip,Plate,"[[""Plate""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0262,Zercher carry,Carry & grip,Barbell or Sandbag,"[[""Barbell""], [""Sandbag""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0263,Plate front hold,Carry & grip,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0264,Plate front carry,Carry & grip,Plate,"[[""Plate""]]",Economy,Durability,Home or gym,Solo OK
EX0265,Plate overhead hold,Upper push,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0266,Overhead dumbbell carry,Carry & grip,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0267,Wall slide,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0268,Lat stretch,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0269,Strict press,Upper push,Barbell or Dumbbell,"[[""Barbell""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0270,Plate front raise,Upper push,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0271,Sandbag bear-hug hold,Carry & grip,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0272,Carry posture drill,Carry & grip,Plate,"[[""Plate""]]",Economy,,Home or gym,Solo OK
EX0273,Plate halo,Mobility,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0274,Band overhead hold,Upper push,Band,"[[""Band""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0275,Plate overhead carry,Carry & grip,Plate,"[[""Plate""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0276,Sandbag bear-hug carry,Carry & grip,Sandbag,"[[""Sandbag""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0277,Waiter carry,Carry & grip,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0278,Overhead hold,Upper push,Plate or Dumbbell,"[[""Plate""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0279,Landmine press,Upper push,Landmine,"[[""Landmine""]]",Balanced Athleticism,,Gym,Solo OK
EX0280,Z press,Upper push,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0281,Plate overhead lunge,Lunge / single-leg,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0282,Weighted plank,Core,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0283,Plate carry intervals,Carry & grip,Plate,"[[""Plate""]]",Durability,Threshold,Home or gym,Solo OK
EX0284,Sandbag clean,Olympic / power,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0285,Plate ground-to-overhead,Olympic / power,Plate,"[[""Plate""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0286,Plank drag,Core,Plate or Kettlebell,"[[""Plate""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0287,Sandbag back-rack hold,Carry & grip,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0288,Couch stretch,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0289,Knee-touch lunge,Lunge / single-leg,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0290,Split-squat isometric hold,Lunge / single-leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0291,Reverse lunge to knee drive,Lunge / single-leg,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0292,Hip airplane,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0293,Lateral step-up,Lunge / single-leg,Box,"[[""Box""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0294,Sandbag bear-hug squat,Squat,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0295,Deficit reverse lunge,Lunge / single-leg,Dumbbell + Plate,"[[""Dumbbell"", ""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0296,Jumping lunge,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0297,Sandbag front-rack lunge,Lunge / single-leg,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0298,Sandbag to shoulder,Olympic / power,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0299,Pulsing lunge,Lunge / single-leg,Bodyweight or Sandbag,"[[""Bodyweight""], [""Sandbag""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0300,Tempo split squat,Lunge / single-leg,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0301,Sandbag box step-over,Lunge / single-leg,Sandbag + Box,"[[""Sandbag"", ""Box""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0302,Front-rack kettlebell walking lunge,Lunge / single-leg,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0303,Tempo squat,Squat,Bodyweight or Kettlebell,"[[""Bodyweight""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0304,Squat to parallel target,Squat,Bodyweight + Box,"[[""Bodyweight"", ""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0305,Hip mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0306,Dead-ball bear-hug squat,Squat,Dead ball,"[[""Dead ball""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0307,Heel-elevated squat,Squat,Bodyweight + Plate,"[[""Bodyweight"", ""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0308,Sit-to-stand control,Squat,Box,"[[""Box""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0309,Dead-ball deadlift,Hinge,Dead ball,"[[""Dead ball""]]",Balanced Athleticism,Economy,Gym,Solo OK
EX0310,Zercher squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0311,Squat conditioning,Squat,Kettlebell or dumbbell or Bodyweight,"[[""Kettlebell or dumbbell""], [""Bodyweight""]]",Durability,Threshold,Home or gym,Solo OK
EX0312,Jump squat,Plyometric,Bodyweight or Dumbbell or Weighted vest,"[[""Bodyweight""], [""Dumbbell""], [""Weighted vest""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0313,Tempo front squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0314,Heel-elevated goblet squat,Squat,Kettlebell or dumbbell + Plate,"[[""Kettlebell or dumbbell"", ""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0315,Squat + carry complex,Mixed couplet,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0316,Hip hinge to wall,Hinge,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0317,Suitcase deadlift,Hinge,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0318,Bracing drill,Core,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0319,Sumo deadlift,Hinge,Barbell or Kettlebell,"[[""Barbell""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0320,Deficit kettlebell deadlift,Hinge,Kettlebell + Plate,"[[""Kettlebell"", ""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0321,Double kettlebell deadlift,Hinge,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0322,Snatch-grip deadlift,Hinge,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0323,Box step-over,Lunge / single-leg,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0324,Snap-down,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0325,Single-leg balance,Lunge / single-leg,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0326,Hop and stick,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0327,Box over lead-leg drill,Lunge / single-leg,Box,"[[""Box""]]",Economy,,Home or gym,Solo OK
EX0328,Lateral box jump,Plyometric,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0329,Box jump-over,Plyometric,Box,"[[""Box""]]",Durability,Economy,Home or gym,Solo OK
EX0330,Box over + burpee couplet,Mixed couplet,Box,"[[""Box""]]",Durability,Threshold,Home or gym,Solo OK
EX0331,Tuck jump,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0332,Broad jump,Plyometric,Bodyweight or Weighted vest,"[[""Bodyweight""], [""Weighted vest""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0333,Ball over shoulder,Hinge,Dead ball,"[[""Dead ball""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0334,Ball-to-lap drill,Hinge,Dead ball,"[[""Dead ball""]]",Economy,,Gym,Solo OK
EX0335,Thoracic rotation mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0336,Stand-tall finish drill,Hinge,Dead ball,"[[""Dead ball""]]",Economy,,Gym,Solo OK
EX0337,Sandbag over shoulder,Hinge,Sandbag,"[[""Sandbag""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0338,Atlas stone lap and load,Hinge,Atlas stone,"[[""Atlas stone""]]",Balanced Athleticism,,Gym,Coach helpful
EX0339,Ball over yoke,Hinge,Dead ball + Yoke,"[[""Dead ball"", ""Yoke""]]",Balanced Athleticism,Economy,Gym,Solo OK
EX0340,Kettlebell clean,Olympic / power,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0341,Ball over shoulder + burpee couplet,Mixed couplet,Dead ball,"[[""Dead ball""]]",Durability,Threshold,Gym,Solo OK
EX0342,Rotational med ball throw,Med ball / throw,Med ball,"[[""Med ball""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0343,Med ball chest pass,Med ball / throw,Med ball,"[[""Med ball""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0344,Dumbbell overhead press,Upper push,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0345,Front-rack hold,Carry & grip,Kettlebell or Barbell,"[[""Kettlebell""], [""Barbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0346,Face-the-wall squat,Squat,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0347,Overhead squat,Squat,Dowel or Barbell,"[[""Dowel""], [""Barbell""]]",Balanced Athleticism,Economy,Home or gym,Coach helpful
EX0348,Squat-to-throw,Med ball / throw,Wall ball,"[[""Wall ball""]]",Economy,,Gym,Solo OK
EX0349,Tall-kneeling ball throw,Med ball / throw,Med ball,"[[""Med ball""]]",Economy,,Home or gym,Solo OK
EX0350,Wall ball stance-width drill,Med ball / throw,Wall ball,"[[""Wall ball""]]",Economy,,Gym,Solo OK
EX0351,Wrist and lat mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0352,Bottom-position front squat hold,Squat,Kettlebell or Barbell,"[[""Kettlebell""], [""Barbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0353,Wall ball + burpee couplet,Mixed couplet,Wall ball,"[[""Wall ball""]]",Durability,Threshold,Gym,Solo OK
EX0354,Dumbbell lateral raise,Upper push,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0355,Front squat + push press complex,Squat-to-press,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0356,Overhead wall sit,Squat,Wall ball,"[[""Wall ball""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0357,Plate thruster,Squat-to-press,Plate,"[[""Plate""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0358,Plate front squat,Squat,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0359,Wrist mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0360,Dumbbell front-rack hold,Carry & grip,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0361,Dumbbell push press,Upper push,Dumbbell,"[[""Dumbbell""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0362,Dumbbell clean,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0363,Push jerk,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,Economy,Gym,Coach helpful
EX0364,Thruster + burpee couplet,Mixed couplet,Dumbbell or Plate,"[[""Dumbbell""], [""Plate""]]",Durability,Threshold,Home or gym,Solo OK
EX0365,Dumbbell clean & press,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0366,Plate deadlift,Hinge,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0367,Shoulder mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0368,Squat to overhead reach,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0369,Plate clean & press,Olympic / power,Plate,"[[""Plate""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0370,Clean and jerk,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,Economy,Gym,Coach helpful
EX0371,Snatch-grip high pull,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Coach helpful
EX0372,Dumbbell snatch,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0373,Dumbbell deadlift,Hinge,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0374,Dumbbell hang high pull,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0375,Dumbbell muscle snatch,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,,Home or gym,Solo OK
EX0376,Overhead dumbbell hold,Upper push,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0377,Single-arm overhead press,Upper push,Dumbbell or Kettlebell,"[[""Dumbbell""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0378,Dumbbell hang snatch,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,,Home or gym,Solo OK
EX0379,Scapular push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0380,Snatch hand-switch drill,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,,Home or gym,Solo OK
EX0381,Kettlebell snatch,Olympic / power,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0382,Barbell hang power snatch,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,Economy,Gym,Coach helpful
EX0383,Single-arm kettlebell swing,Olympic / power,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0384,Snatch + burpee couplet,Mixed couplet,Dumbbell,"[[""Dumbbell""]]",Durability,Threshold,Home or gym,Solo OK
EX0385,Turkish get-up,Core,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0386,Devil press,Burpee,Dumbbell,"[[""Dumbbell""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0387,Step-back burpee,Burpee,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0388,Double dumbbell hang clean,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0389,Squat thrust,Burpee,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0390,Inchworm,Crawl,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0391,Two-handed dumbbell swing,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0392,Mountain climbers,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Threshold,Home or gym,Solo OK
EX0393,Plank to push-up,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0394,Double dumbbell snatch,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0395,Dumbbell burpee,Burpee,Dumbbell,"[[""Dumbbell""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0396,Dumbbell clean and jerk,Olympic / power,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0397,Man maker,Burpee,Dumbbell,"[[""Dumbbell""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0398,Plyometric push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0399,Weighted burpee,Burpee,Sandbag or Plate,"[[""Sandbag""], [""Plate""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0400,Tempo push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0401,World's greatest stretch,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0402,Two-foot forward hops,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0403,Sprawl drill,Burpee,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0404,Burpee broad jump,Burpee,Bodyweight,"[[""Bodyweight""]]",Durability,Threshold,Home or gym,Solo OK
EX0405,Broad jump + sprint,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0406,Weighted-vest burpee,Burpee,Weighted vest,"[[""Weighted vest""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0407,Hang power clean,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,Economy,Gym,Coach helpful
EX0408,Incline burpee,Burpee,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0409,Burpee without push-up,Burpee,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0410,Jumping jacks,Plyometric,Bodyweight,"[[""Bodyweight""]]",Aerobic Engine,Economy,Home or gym,Solo OK
EX0411,Burpee pull-up,Burpee,Pull-up bar,"[[""Pull-up bar""]]",Durability,Balanced Athleticism,Gym,Solo OK
EX0412,Burpee over bar,Burpee,Barbell,"[[""Barbell""]]",Durability,Threshold,Gym,Solo OK
EX0413,Burpee + air bike couplet,Mixed couplet,Air bike,"[[""Air bike""]]",Durability,Threshold,Gym,Solo OK
EX0414,Weighted push-up,Upper push,Weighted vest or Plate,"[[""Weighted vest""], [""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0415,Quadruped hold,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0416,Crab walk,Crawl,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0417,Backward bear crawl,Crawl,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0418,Lateral bear crawl,Crawl,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0419,Hand-release push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0420,Crawl pattern drill,Crawl,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0421,Weighted bear crawl,Crawl,Plate,"[[""Plate""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0422,Bear crawl sled drag,Crawl,Sled,"[[""Sled""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0423,Bear crawl + push-up,Crawl,Bodyweight,"[[""Bodyweight""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0424,Wall walk,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0425,Bear crawl + sprint,Crawl,Bodyweight,"[[""Bodyweight""]]",Durability,Threshold,Home or gym,Solo OK
EX0426,Pike push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0427,Sit-up,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0428,Crunch,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0429,Med ball sit-up,Core,Med ball,"[[""Med ball""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0430,Butterfly sit-up,Core,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0431,V-up,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0432,Russian twist,Core,Med ball or Plate,"[[""Med ball""], [""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0433,Reverse crunch,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0434,Lying leg raise,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0435,Cat-cow,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0436,Seated ball catch drill,Med ball / throw,Med ball,"[[""Med ball""]]",Economy,,Home or gym,Solo OK
EX0437,Seated leg lift,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0438,Med ball sit-up throw,Core,Med ball,"[[""Med ball""]]",Durability,Economy,Home or gym,Solo OK
EX0439,GHD sit-up,Core,GHD,"[[""GHD""]]",Balanced Athleticism,,Gym,Solo OK
EX0440,Decline sit-up,Core,Bench,"[[""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
