id,station_id,sort_order,name,dose,session_type,primary_pillar,secondary_pillar,load,where_setting,best_with,courage
RS0231,lunge,16,Lunges with heart-rate cap,At race pace,Strategy & pacing,Economy,Durability,Moderate,Home or gym,Solo OK,
RS0232,lunge,17,Lunges on race-type surface,,Race prep,Economy,,Moderate,Home or gym,Solo OK,Race rehearsal
RS0233,lunge,18,Full hip extension standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0234,lunge,19,Fast sandbag pick-up to shoulder,,Transition,Economy,,Low,Home or gym,Solo OK,
RS0235,lunge,20,Lunges at the end of a long run,100 m,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0236,squat,1,Dead-ball bear-hug squats for time,75 reps (Paladin),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0237,squat,2,Goblet squats for time,60 reps (DD),Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0238,squat,3,Squat set strategy,e.g. 25-20-15-15,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0239,squat,4,Squat depth standard,Quads parallel,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0240,squat,5,Squat full hip lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0241,squat,6,Ground-to-overhead → bear-hug squats,Paladin Zone 1,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0242,squat,7,Burpee broad jump → goblet squats,DD rounds 5–6,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0243,squat,8,Squats after 800 m run,,Compromised (brick),Fatigue Management,Durability,Moderate,Home or gym,Solo OK,
RS0244,squat,9,Squats after 400 m run,,Compromised (brick),Fatigue Management,Durability,Moderate,Home or gym,Solo OK,
RS0245,squat,10,Squat breathing,Exhale on the stand,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0246,squat,11,Ball and bell grip reset drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0247,squat,12,Bear-hug squat overload,100 reps,Overload,Durability,Balanced Athleticism,High,Home or gym,Solo OK,Overload
RS0248,squat,13,Goblet squat overload,20 / 16 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0249,squat,14,Squats from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0250,squat,15,Squat race-pace sets,"5 × 15, short rest",Race pace,Durability,Threshold,Moderate,Home or gym,Solo OK,
RS0251,squat,16,Squats → run pace check,,Compromised (brick),Fatigue Management,Economy,Moderate,Home or gym,Solo OK,
RS0252,squat,17,Squat doubles alternating sets,,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0253,squat,18,Bear-hug squats with a heavier ball,,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0254,squat,19,Fast dead-ball pick-up,,Transition,Economy,,Low,Gym,Solo OK,
RS0255,squat,20,Squat unbroken test,30 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0256,kbdl,1,KB deadlifts at race weight for time,60 reps,Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0257,kbdl,2,KB deadlift set strategy,e.g. 20-20-20 or 4 × 15,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0258,kbdl,3,Farmers carry → KB deadlift,DD rounds 1–2,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0259,kbdl,4,KB deadlift → 400 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0260,kbdl,5,KB deadlift full lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0261,kbdl,6,KB deadlift touch-and-go rhythm,,Technique & standards,Economy,,Moderate,Home or gym,Coach helpful,
RS0262,kbdl,7,KB deadlift grip strategy after farmers carry,,Strategy & pacing,Economy,Fatigue Management,Moderate,Home or gym,Solo OK,
RS0263,kbdl,8,KB deadlift overload,60 reps at 40 / 32 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0264,kbdl,9,KB deadlift volume overload,80 reps at race weight,Overload,Durability,Balanced Athleticism,High,Home or gym,Solo OK,Overload
RS0265,kbdl,10,KB deadlifts from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0266,kbdl,11,KB deadlift breathing,Exhale at lockout,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0267,kbdl,12,KB deadlift unbroken test,30 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0268,kbdl,13,KB deadlift → DB lunge,DD rounds 2–3,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0269,kbdl,14,KB deadlift doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0270,kbdl,15,KB deadlifts at the end of a long run,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0271,kbdl,16,KB deadlift race-weight sets,"3 × 20, 20 s rest",Race pace,Durability,Threshold,Moderate,Home or gym,Solo OK,
RS0272,kbdl,17,KB deadlift time target,60 reps,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0273,kbdl,18,Posture-under-fatigue drill,KB deadlift,Technique & standards,Economy,Durability,Moderate,Home or gym,Coach helpful,
RS0274,kbdl,19,Chalk vs no chalk test,KB deadlift,Race prep,Economy,,Low,Home or gym,Solo OK,
RS0275,kbdl,20,KB deadlift race-weight EMOM,15 reps × 4,Race pace,Durability,Threshold,Moderate,Home or gym,Group-friendly,
RS0276,box,1,Box overs for time,50 reps (Paladin),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0277,box,2,Box jump or step overs,20 reps at 24 in (DEKA),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0278,box,3,Box over jump vs step test,,Strategy & pacing,Economy,,Moderate,Gym,Solo OK,
RS0279,box,4,Box over turn-and-go rhythm drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0280,box,5,Box over both-feet-on-top standard,,Technique & standards,Economy,,Low,Gym,Coach or partner,
RS0281,box,6,BikeErg → box overs,Paladin Zone 2,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0282,box,7,Box overs → dead-ball lunges,Paladin Zone 2,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0283,box,8,Row → box overs,DEKA zones 2–3,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0284,box,9,Box overs from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0285,box,10,Box over unbroken sets,"5 × 10, 10 s rest",Race pace,Durability,Threshold,Moderate,Gym,Solo OK,
RS0286,box,11,Box over no-hands rule practice,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0287,box,12,Box overs after 800 m run,,Compromised (brick),Fatigue Management,Durability,Moderate,Gym,Solo OK,
RS0288,box,13,Box over doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Gym,Partner or group,
RS0289,box,14,Box over overload,75 reps,Overload,Durability,Balanced Athleticism,High,Gym,Solo OK,Overload
RS0290,box,15,Box over pacing,Target seconds per rep,Strategy & pacing,Economy,Threshold,Moderate,Gym,Solo OK,
RS0291,box,16,Race-height box familiarisation,,Race prep,Economy,,Low,Home or gym,Solo OK,Race rehearsal
RS0292,box,17,Box overs in a weighted vest,,Overload,Balanced Athleticism,Durability,High,Gym,Solo OK,Overload
RS0293,box,18,Box overs → 500 m run,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0294,box,19,Late-race box overs,After long ergs,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0295,box,20,Box over soft-landing efficiency drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0296,bos,1,Ball over shoulder for time,50 reps (Paladin),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0297,bos,2,Dead-ball yoke overs,20 reps (DEKA),Race pace,Durability,Balanced Athleticism,High,Gym,Solo OK,
RS0298,bos,3,Ball over shoulder set strategy,e.g. 10 × 5,Strategy & pacing,Economy,,Moderate,Gym,Solo OK,
RS0299,bos,4,Ball over shoulder stand-tall standard,,Technique & standards,Economy,,Low,Gym,Coach or partner,
RS0300,bos,5,Alternating shoulder rhythm,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0301,bos,6,Burpees → ball over shoulder,Paladin Zone 4,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0302,bos,7,Air bike → yoke overs,DEKA zones 7–8,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0303,bos,8,Yoke overs → tank push/pull,DEKA zones 8–9,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0304,bos,9,Ball over shoulder with heavier ball,,Overload,Balanced Athleticism,Durability,High,Gym,Solo OK,Overload
RS0305,bos,10,Hug-and-lift technique,No grip,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0306,bos,11,Ball over shoulder breathing,Exhale on the throw,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0307,bos,12,Ball overs from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0308,bos,13,Ball over shoulder doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Gym,Partner or group,
RS0309,bos,14,Ball over shoulder time target,50 reps,Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0310,bos,15,Race finisher: sprint the last 10,Ball over shoulder,Strategy & pacing,Threshold,Durability,High,Gym,Solo OK,Finish surge
RS0311,bos,16,Lap vs no-lap technique test,,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0312,bos,17,Ball overs after long ergs,,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0313,bos,18,Ball over shoulder unbroken test,20 reps,Test / time trial,Durability,,Moderate,Gym,Coach or partner,Test
RS0314,bos,19,800 m run → ball over shoulder,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0315,bos,20,Late-race ball overs,,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0316,wb,1,Wall balls for time,100 reps,Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0317,wb,2,Wall ball set strategy rehearsal,e.g. 25-20-20-15-10-10,Strategy & pacing,Economy,Durability,Moderate,Gym,Solo OK,Race rehearsal
RS0318,wb,3,Wall ball short-rest sets,"10 × 10, 10 s rest",Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0319,wb,4,Wall ball volume overload,150 reps,Overload,Durability,Balanced Athleticism,High,Gym,Solo OK,Overload
RS0320,wb,5,Wall ball catch-and-go rhythm drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0321,wb,6,Wall ball breathing drill,Exhale on throw,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0322,wb,7,Wall ball target accuracy and no-rep standard,,Technique & standards,Economy,,Low,Gym,Coach or partner,
RS0323,wb,8,1 km run → wall balls,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0324,wb,9,Lunges → wall balls,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0325,wb,10,Finish simulation,Run 8 + lunges + 100 wall balls,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0326,wb,11,Wall ball race-pace sets,"4 × 25, 15 s rest",Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0327,wb,12,Wall ball unbroken test,50 reps,Test / time trial,Durability,,Moderate,Gym,Coach or partner,Test
RS0328,wb,13,Wall ball fixed-breath rest,Five breaths between sets,Strategy & pacing,Economy,Fatigue Management,Moderate,Gym,Solo OK,
RS0329,wb,14,Wall ball target height check,3 m / 2.7 m,Race prep,Economy,,Low,Gym,Solo OK,
RS0330,wb,15,Wall ball no-rep drill with a judge,,Technique & standards,Economy,,Low,Gym,Coach or partner,
RS0331,wb,16,Wall ball doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Gym,Partner or group,
RS0332,wb,17,Wall ball time target,100 reps,Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0333,wb,18,Wall balls from raised heart rate,After 2 min SkiErg,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0334,wb,19,Wall ball final surge,Last 20 reps,Strategy & pacing,Threshold,Durability,High,Gym,Solo OK,Finish surge
RS0335,wb,20,Dropped-ball recovery drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0336,thr,1,Plate thrusters for time,50 reps (Paladin),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0337,thr,2,DB push press for time,60 reps (DD),Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0338,thr,3,Thruster set strategy,e.g. 20-15-15,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0339,thr,4,Plate-under-chin standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0340,thr,5,Thruster full lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0341,thr,6,Row → plate thrusters,Paladin Zone 3,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0342,thr,7,Thrusters → farmers carry,Paladin Zone 3,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0343,thr,8,Ground-to-overhead → thrusters,Paladin Endurance,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0344,thr,9,Front carry → push press,DD rounds 7–8,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0345,thr,10,Push press → bear crawl,DD rounds 8–9,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0346,thr,11,Plate thruster overload,25 / 20 kg plate,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0347,thr,12,DB push press overload,2 × 15 / 2 × 7.5 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0348,thr,13,Thruster breathing rhythm,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0349,thr,14,Thrusters from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0350,thr,15,Thruster doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0351,thr,16,Thruster time target,50 reps,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0352,thr,17,Thruster unbroken test,25 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0353,thr,18,800 m run → thrusters,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0354,thr,19,400 m run → push press,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0355,thr,20,Late-session thrusters,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0356,g2oh,1,Plate ground-to-overhead for time,50 reps (Paladin),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0357,g2oh,2,Plate clean & press for time,60 reps (DD),Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0358,g2oh,3,Ground-to-overhead set strategy,e.g. 20-15-15,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0359,g2oh,4,Plate-touches-ground standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0360,g2oh,5,Ground-to-overhead lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0361,g2oh,6,Controlled lowering standard,No drop,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0362,g2oh,7,SkiErg → ground-to-overhead,Paladin Zone 1,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0363,g2oh,8,Ground-to-overhead → bear-hug squats,Paladin Zone 1,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0364,g2oh,9,Ground-to-overhead → thrusters,Paladin Endurance,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0365,g2oh,10,Clean & press → overhead carry,DD rounds 10–11,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0366,g2oh,11,Ground-to-overhead overload,25 / 20 kg plate,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0367,g2oh,12,Plate grip choice test,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0368,g2oh,13,Ground-to-overhead breathing rhythm,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0369,g2oh,14,Ground-to-overhead from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0370,g2oh,15,Ground-to-overhead time target,50 reps,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0371,g2oh,16,Ground-to-overhead doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0372,g2oh,17,Ground-to-overhead unbroken test,25 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0373,g2oh,18,800 m run → ground-to-overhead,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0374,g2oh,19,400 m run → clean & press,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0375,g2oh,20,Late-session ground-to-overhead,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0376,snatch,1,Alternating DB snatches at race weight,60 reps,Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0377,snatch,2,DB snatch set strategy,e.g. 20-20-20,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0378,snatch,3,Snatch hand switch: top vs bottom,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0379,snatch,4,Snatch lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0380,snatch,5,DB lunge → snatch,DD rounds 3–4,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0381,snatch,6,Snatch → burpee broad jump,DD rounds 4–5,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0382,snatch,7,Snatch after 400 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0383,snatch,8,DB snatch overload,60 reps at 20 / 12.5 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0384,snatch,9,Snatch breathing rhythm,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0385,snatch,10,Snatch grip after farmers carry and deadlifts,,Compromised (brick),Fatigue Management,Durability,Moderate,Home or gym,Solo OK,
RS0386,snatch,11,Snatch from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0387,snatch,12,DB snatch time target,60 reps,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0388,snatch,13,DB snatch doubles alternating,Sets of 10,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0389,snatch,14,DB snatch race-weight sets,"3 × 20, 15 s rest",Race pace,Durability,Threshold,Moderate,Home or gym,Solo OK,
RS0390,snatch,15,DB snatch unbroken test,30 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0391,snatch,16,Snatch touch-and-go vs reset reps,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0392,snatch,17,DB snatch race-weight EMOM,,Race pace,Durability,Threshold,Moderate,Home or gym,Group-friendly,
RS0393,snatch,18,Snatches at the end of a session,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0394,snatch,19,Snatch hip-drive efficiency drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0395,snatch,20,Snatch → run pace check,,Compromised (brick),Fatigue Management,Economy,Moderate,Home or gym,Solo OK,
RS0396,devil,1,Devil presses at race weight,20 reps,Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0397,devil,2,Devil press unbroken test,20 reps,Test / time trial,Durability,,Moderate,Home or gym,Coach or partner,Test
RS0398,devil,3,Devil press set strategy,10-10 or 7-7-6,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0399,devil,4,Devil press overhead lockout standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0400,devil,5,Overhead carry → devil press,DD rounds 11–12,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0401,devil,6,Devil press finisher after 400 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,Finish surge
RS0402,devil,7,Devil press overload,20 reps at 2 × 15 / 2 × 7.5 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0403,devil,8,Devil press pacing,Steady rep every 5 s,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0404,devil,9,Devil press breathing reset at the top,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0405,devil,10,Devil press from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0406,devil,11,Devil press after a full labour circuit,,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0407,devil,12,Devil press doubles alternating,Sets of 5,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0408,devil,13,Devil press time target,20 reps,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0409,devil,14,Devil press step vs jump back test,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0410,devil,15,Devil press hip-snap efficiency drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0411,devil,16,Devil press race-weight sets,3 × 10,Race pace,Durability,Balanced Athleticism,Moderate,Home or gym,Solo OK,
RS0412,devil,17,Devil press after air bike,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0413,devil,18,Devil press at the end of a long run,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0414,devil,19,Grip-fatigued devil press,,Compromised (brick),Fatigue Management,Durability,Moderate,Home or gym,Solo OK,
RS0415,devil,20,Devil press final-rep sprint drill,,Strategy & pacing,Threshold,Durability,Moderate,Home or gym,Solo OK,Finish surge
RS0416,bbj,1,Burpee broad jumps at race pace,80 m,Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0417,bbj,2,Burpee broad jump race-pace repeats,"4 × 20 m, 20 s rest",Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0418,bbj,3,BBJ step-back vs jump-back selection drill,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0419,bbj,4,BBJ jump count per 20 m,Distance consistency,Technique & standards,Economy,,Moderate,Home or gym,Coach helpful,
RS0420,bbj,5,BBJ hand-placement drill,Land into the next burpee,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0421,bbj,6,BBJ breathing cadence drill,One breath per rep,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0422,bbj,7,Sled pull → burpee broad jumps,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0423,bbj,8,Burpee broad jumps → 1 km run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0424,bbj,9,Run → BBJ → run,1 km → 80 m BBJ → 1 km,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0425,bbj,10,BBJ standards check,"Chest to floor, two-foot jump",Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0426,bbj,11,Burpee broad jump race-pace repeats,"2 × 40 m, 30 s rest",Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0427,bbj,12,Weighted-vest BBJ,Overload,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0428,bbj,13,BBJ after heavy sled work,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0429,bbj,14,BBJ on race-type surface,,Race prep,Economy,,Moderate,Home or gym,Solo OK,Race rehearsal
RS0430,bbj,15,BBJ chest-down speed drill,,Technique & standards,Economy,,Moderate,Home or gym,Coach helpful,
RS0431,bbj,16,BBJ straight-line jump accuracy,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0432,bbj,17,BBJ doubles alternating,10 m,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0433,bbj,18,BBJ pace targets,Per 20 m,Strategy & pacing,Economy,Threshold,Moderate,Home or gym,Solo OK,
RS0434,bbj,19,BBJ heart-rate cap drill,,Strategy & pacing,Economy,Durability,Moderate,Home or gym,Solo OK,
RS0435,bbj,20,Continuous flow BBJ,No pause between reps,Technique & standards,Economy,Durability,Moderate,Home or gym,Coach helpful,
RS0436,burpee,1,Burpees for time,25 reps (Paladin),Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0437,burpee,2,RAM weighted burpees,20 reps (DEKA),Race pace,Durability,Balanced Athleticism,High,Gym,Solo OK,
RS0438,burpee,3,Weighted burpees with sandbag or plate,RAM substitute,Race pace,Durability,Balanced Athleticism,High,Gym,Solo OK,
RS0439,burpee,4,Burpees → ball over shoulder,Paladin Zone 4,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0440,burpee,5,Burpee pacing,1 rep every 3–4 s,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0441,burpee,6,Burpee step-down vs jump-down choice,,Strategy & pacing,Economy,,Low,Home or gym,Solo OK,
RS0442,burpee,7,Burpee standard: hands above shoulders on the jump,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0443,burpee,8,Burpee standard: chest and thighs to floor,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0444,burpee,9,RAM grip and placement drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0445,burpee,10,Burpees from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0446,burpee,11,Burpee unbroken sets,"5 × 5, 5 s rest",Race pace,Threshold,Durability,Moderate,Home or gym,Solo OK,
RS0447,burpee,12,Tank push/pull → RAM burpees,DEKA zones 9–10,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0448,burpee,13,Burpees at the end of a long session,,Compromised (brick),Durability,Fatigue Management,High,Home or gym,Solo OK,
RS0449,burpee,14,Burpee doubles alternating,Sets of 5,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0450,burpee,15,Burpee breathing cadence drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0451,burpee,16,Burpee overload,40 reps,Overload,Durability,Threshold,High,Home or gym,Solo OK,Overload
RS0452,burpee,17,Race finisher: sprint the last 10,Burpees,Strategy & pacing,Threshold,Durability,High,Home or gym,Solo OK,Finish surge
RS0453,burpee,18,Burpees after 800 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0454,burpee,19,Burpees after 500 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0455,burpee,20,Weighted-vest burpees at race volume,,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0456,bear,1,Bear crawl for time,120 m,Race pace,Durability,Threshold,High,Home or gym,Solo OK,
RS0457,bear,2,Bear crawl shuttles with turns,12 × 10 m,Race pace,Durability,Economy,High,Home or gym,Solo OK,
RS0458,bear,3,Bear crawl knees-off standard,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0459,bear,4,Bear crawl 10 m turn technique,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0460,bear,5,Push press → bear crawl,DD rounds 8–9,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0461,bear,6,Bear crawl → clean & press,DD rounds 9–10,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0462,bear,7,Bear crawl → 400 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
